[I 2023-11-10 03:08:58,952] A new study created in memory with name: no-name-7fcc14aa-9232-45c3-a6be-ae5a363d33ca
[I 2023-11-10 06:55:55,651] Trial 41 finished with value: 34745.37330468936 and parameters: {'N': 6, 'n_neurons_1': 245, 'n_neurons_2': 134, 'n_neurons_3': 146, 'n_neurons_4': 95, 'kernel_regularizer': 0.025022020648053304, 'learning_rate': 0.0040809971107340385, 'min_delta': 0.3881178930855402, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:59:35,750] Trial 42 finished with value: 43124.51911348073 and parameters: {'N': 6, 'n_neurons_1': 246, 'n_neurons_2': 148, 'n_neurons_3': 147, 'n_neurons_4': 94, 'kernel_regularizer': 0.02537850232775887, 'learning_rate': 0.0035135095219169794, 'min_delta': 0.3780616607370592, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:02:34,620] Trial 43 finished with value: 60982.773221530195 and parameters: {'N': 6, 'n_neurons_1': 174, 'n_neurons_2': 128, 'n_neurons_3': 144, 'n_neurons_4': 90, 'kernel_regularizer': 0.021348451291298993, 'learning_rate': 0.005372898484586516, 'min_delta': 0.645426462573953, 'patience': 6, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:03:45,202] Trial 44 finished with value: 48636.30055010794 and parameters: {'N': 5, 'n_neurons_1': 157, 'n_neurons_2': 119, 'n_neurons_3': 141, 'n_neurons_4': 97, 'kernel_regularizer': 0.032477490709615996, 'learning_rate': 0.004108440201059439, 'min_delta': 0.23971887221252722, 'patience': 4, 'batch_size': 128}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:05:43,513] Trial 45 finished with value: 338615.45520766213 and parameters: {'N': 7, 'n_neurons_1': 139, 'n_neurons_2': 108, 'n_neurons_3': 150, 'n_neurons_4': 99, 'kernel_regularizer': 0.03995262071736674, 'learning_rate': 0.008254456501869813, 'min_delta': 1.0961578822065745, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:13:39,315] Trial 46 finished with value: 47851.644860520886 and parameters: {'N': 8, 'n_neurons_1': 230, 'n_neurons_2': 133, 'n_neurons_3': 139, 'n_neurons_4': 91, 'kernel_regularizer': 0.02888628563665275, 'learning_rate': 0.004877230559214942, 'min_delta': 0.21893520745464798, 'patience': 6, 'batch_size': 32}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:18:04,430] Trial 47 finished with value: 756429.4958264314 and parameters: {'N': 10, 'n_neurons_1': 297, 'n_neurons_2': 158, 'n_neurons_3': 117, 'n_neurons_4': 58, 'kernel_regularizer': 0.023794562600771736, 'learning_rate': 0.0017932461819602807, 'min_delta': 0.7387834925604707, 'patience': 7, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:19:12,777] Trial 48 finished with value: 842880.0918820165 and parameters: {'N': 6, 'n_neurons_1': 194, 'n_neurons_2': 143, 'n_neurons_3': 146, 'n_neurons_4': 96, 'kernel_regularizer': 0.020201802311139806, 'learning_rate': 0.005965979349188922, 'min_delta': 1.444418871894311, 'patience': 3, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:21:50,638] Trial 49 finished with value: 1276047.7731683087 and parameters: {'N': 8, 'n_neurons_1': 179, 'n_neurons_2': 137, 'n_neurons_3': 123, 'n_neurons_4': 65, 'kernel_regularizer': 0.039142935686137005, 'learning_rate': 0.0065771880664297466, 'min_delta': 1.6385689535654457, 'patience': 13, 'batch_size': 128}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:26:10,811] Trial 50 finished with value: 46585.18983538289 and parameters: {'N': 6, 'n_neurons_1': 223, 'n_neurons_2': 150, 'n_neurons_3': 132, 'n_neurons_4': 75, 'kernel_regularizer': 0.029960956790170645, 'learning_rate': 0.00280439241013088, 'min_delta': 1.176471071036515, 'patience': 8, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
